,smiles,inchi_key,error_type,error_message,1_r1_smiles,1_r2_smiles,1_reaction,hit1,num_placed,num_successful,route_uuid,template,to_hippo,total_num_products_enumstereo,total_num_unique_products,compound_set,hit2,hit3,2_r1_smiles,2_r2_smiles,2_reaction
0,Cc1cc(NC(=O)NCC(C)O)nn1C1CC1,GZPXXQDQKSPFSB-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,Cc1cc(N)nn1C1CC1,CC(O)CN,Formation_of_urea_from_two_amines,,,,zEdzir,,,,,,,,,,
1,Cc1cc(NC(=O)NCC(C)O)nn1C1CC1,GZPXXQDQKSPFSB-UHFFFAOYSA-N,APIQueryError,API superstructure query failed for step 1 reactant r1 in Formation_of_urea_by_displacement_of_imidazole_by_amine.,CC(O)C[NH:1]C(=O)n1ccnc1,Cc1cc(N)nn1C1CC1,Formation_of_urea_by_displacement_of_imidazole_by_amine,,,,SCf6G9,,,,,,,,,,
0,CC(O)CNC(=O)Nc1ccn(C2CCC2)n1,GTOPDHADXIWWQI-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,Nc1ccn(C2CCC2)n1,CC(O)CN,Formation_of_urea_from_two_amines,,,,iMgVEU,,,,,,,,,,
1,CC(O)CNC(=O)Nc1ccn(C2CCC2)n1,GTOPDHADXIWWQI-UHFFFAOYSA-N,APIQueryError,API superstructure query failed for step 1 reactant r1 in Formation_of_urea_by_displacement_of_imidazole_by_amine.,CC(O)C[NH:1]C(=O)n1ccnc1,Nc1ccn(C2CCC2)n1,Formation_of_urea_by_displacement_of_imidazole_by_amine,,,,ZLi9ce,,,,,,,,,,
0,Cc1ccn(-c2cccc(NC(=O)NCC(C)O)c2)n1,LYBJDPXLKAGWQA-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,Cc1ccn(-c2cccc(N)c2)n1,CC(O)CN,Formation_of_urea_from_two_amines,,,,aGimmK,,,,,,,,,,
1,Cc1ccn(-c2cccc(NC(=O)NCC(C)O)c2)n1,LYBJDPXLKAGWQA-UHFFFAOYSA-N,APIQueryError,API superstructure query failed for step 1 reactant r1 in Formation_of_urea_by_displacement_of_imidazole_by_amine.,CC(O)C[NH:1]C(=O)n1ccnc1,Cc1ccn(-c2cccc(N)c2)n1,Formation_of_urea_by_displacement_of_imidazole_by_amine,,,,pYVTWq,,,,,,,,,,
0,CC(C)CC(NC(=O)c1cnc(-c2ccccn2)s1)C(F)(F)F,HGMRINZTTPAZBD-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,O=C(O)c1cnc(-c2ccccn2)s1,CC(C)CC(N)C(F)(F)F,Amidation,,,,G3Yktq,,,,,,,,,,
0,Cn1c(=O)n(CCN2CCCC2=O)c(=S)c2ccccc21,KZGPDDSEMZONAM-UHFFFAOYSA-N,,,O=C1CCCN1CCI,Cn1c(=O)[nH]c(=S)c2ccccc21,Nucleophilic_substitution_with_amine,z0309a,302.0,111.0,DX3HCc,/opt/xchem-fragalysis-2/maxwin/RdRp_FFF/syndirella/feb_elabs/templates/z0309a_apo-desolv.pdb,/opt/xchem-fragalysis-2/maxwin/RdRp_FFF/syndirella/feb_elabs/elabs_84/KZGPDDSEMZONAM-UHFFFAOYSA-N/KZGPDDSEMZONAM-UHFFFAOYSA-N_DX3HCc_to_hippo.pkl.gz,302.0,80.0,C68384,z1018a,,,,
0,CC(O)CNC(=O)Nc1cc(C2CC2)n(C)n1,GLKYHQBKOTZYGD-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,Cn1nc(N)cc1C1CC1,CC(O)CN,Formation_of_urea_from_two_amines,,,,UQngXo,,,,,,,,,,
1,CC(O)CNC(=O)Nc1cc(C2CC2)n(C)n1,GLKYHQBKOTZYGD-UHFFFAOYSA-N,APIQueryError,API superstructure query failed for step 1 reactant r1 in Formation_of_urea_by_displacement_of_imidazole_by_amine.,CC(O)C[NH:1]C(=O)n1ccnc1,Cn1nc(N)cc1C1CC1,Formation_of_urea_by_displacement_of_imidazole_by_amine,,,,9UkDjh,,,,,,,,,,
0,Cc1cc(NC(=O)NCC(C)O)n(-c2ccccc2)n1,FGZCUNYQGFTGLS-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,Cc1cc(N)n(-c2ccccc2)n1,CC(O)CN,Formation_of_urea_from_two_amines,,,,oCSCip,,,,,,,,,,
1,Cc1cc(NC(=O)NCC(C)O)n(-c2ccccc2)n1,FGZCUNYQGFTGLS-UHFFFAOYSA-N,APIQueryError,API superstructure query failed for step 1 reactant r1 in Formation_of_urea_by_displacement_of_imidazole_by_amine.,CC(O)C[NH:1]C(=O)n1ccnc1,Cc1cc(N)n(-c2ccccc2)n1,Formation_of_urea_by_displacement_of_imidazole_by_amine,,,,Ex2wZb,,,,,,,,,,
0,CC(=O)c1csc(-c2nccc3ccccc23)n1,MKYSFVXFAWJDCJ-UHFFFAOYSA-N,,,CC1(C)OB(c2nccc3ccccc23)OC1(C)C,CC(=O)c1csc(Br)n1,Sp2-sp2_Suzuki_coupling,z0111a,7802.0,202.0,wP9W6b,/opt/xchem-fragalysis-2/maxwin/RdRp_FFF/syndirella/feb_elabs/templates/z0111a_apo-desolv.pdb,/opt/xchem-fragalysis-2/maxwin/RdRp_FFF/syndirella/feb_elabs/elabs_99/MKYSFVXFAWJDCJ-UHFFFAOYSA-N/MKYSFVXFAWJDCJ-UHFFFAOYSA-N_wP9W6b_to_hippo.pkl.gz,7802.0,7268.0,C48477,z0496a,,,,
0,O=C(CCCc1ccncc1)NCc1coc2ccccc12,XPDDKFHYDJHELS-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,O=C(O)CCCc1ccncc1,NCc1coc2ccccc12,Amidation,,,,APdir6,,,,,,,,,,
0,CC(=O)c1csc(-c2nccc3ccccc23)n1,MKYSFVXFAWJDCJ-UHFFFAOYSA-N,,,CC1(C)OB(c2nccc3ccccc23)OC1(C)C,CC(=O)c1csc(Br)n1,Sp2-sp2_Suzuki_coupling,z0111a,7802.0,207.0,k8ytwY,/opt/xchem-fragalysis-2/maxwin/RdRp_FFF/syndirella/feb_elabs/templates/z0111a_apo-desolv.pdb,/opt/xchem-fragalysis-2/maxwin/RdRp_FFF/syndirella/feb_elabs/elabs_96/MKYSFVXFAWJDCJ-UHFFFAOYSA-N/MKYSFVXFAWJDCJ-UHFFFAOYSA-N_k8ytwY_to_hippo.pkl.gz,7802.0,7268.0,C48477,z0496a,,,,
0,Cc1nc(CNc2nccc3ccccc23)cs1,QYRRPPSGQNMPRP-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,Nc1nccc2ccccc12,Cc1nc(C=O)cs1,Reductive_amination,,,,ftqV7d,,,,,,,,,,
0,OC1COCC1CNCc1ccn[nH]1,DFFAHRILMAZSJI-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,O=Cc1ccn[nH]1,NCC1COCC1O,Reductive_amination,,,,BP2NjV,,,,,,,,,,
0,CC(O)CNC(=O)Nc1cccc(-n2cccn2)c1,QLFFONPVDDKJCE-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,Nc1cccc(-n2cccn2)c1,CC(O)CN,Formation_of_urea_from_two_amines,,,,8mXJxQ,,,,,,,,,,
1,CC(O)CNC(=O)Nc1cccc(-n2cccn2)c1,QLFFONPVDDKJCE-UHFFFAOYSA-N,APIQueryError,API superstructure query failed for step 1 reactant r1 in Formation_of_urea_by_displacement_of_imidazole_by_amine.,CC(O)C[NH:1]C(=O)n1ccnc1,Nc1cccc(-n2cccn2)c1,Formation_of_urea_by_displacement_of_imidazole_by_amine,,,,KJoFpm,,,,,,,,,,
0,c1ccn(-c2cc(-c3cn[nH]c3-c3ccncc3)ccn2)c1,QPSJATGGUBQOAU-UHFFFAOYSA-N,,,CC1(C)OB(c2ccnc(-n3cccc3)c2)OC1(C)C,Brc1cn[nH]c1-c1ccncc1,Sp2-sp2_Suzuki_coupling,d0160a,5506.0,25.0,mCa7zd,/opt/xchem-fragalysis-2/maxwin/RdRp_FFF/syndirella/feb_elabs/templates/d0160a_apo-desolv.pdb,/opt/xchem-fragalysis-2/maxwin/RdRp_FFF/syndirella/feb_elabs/elabs_72/QPSJATGGUBQOAU-UHFFFAOYSA-N/QPSJATGGUBQOAU-UHFFFAOYSA-N_mCa7zd_to_hippo.pkl.gz,5506.0,4984.0,C70838,d0472a,z0875c,,,
0,c1nc2ccc(NCc3ccc4occc4c3)cn2n1,WNOQDDCSSLWEEK-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,NCc1ccc2occc2c1,Ic1ccc2ncnn2c1,N-nucleophilic_aromatic_substitution,,,,32VMHk,,,,,,,,,,
0,CC(CC(=O)Nc1c[nH]nc1-c1nccs1)N1CCCCC1=O,ZTHISXNUAOFTJB-UHFFFAOYSA-N,,,Nc1c[nH]nc1-c1nccs1,CC(CC(=O)O)N1CCCCC1=O,Amidation,z0215a,10000.0,2415.0,iS4m2Q,/opt/xchem-fragalysis-2/maxwin/RdRp_FFF/syndirella/feb_elabs/templates/z0215a_apo-desolv.pdb,/opt/xchem-fragalysis-2/maxwin/RdRp_FFF/syndirella/feb_elabs/elabs_20/ZTHISXNUAOFTJB-UHFFFAOYSA-N/ZTHISXNUAOFTJB-UHFFFAOYSA-N_iS4m2Q_to_hippo.pkl.gz,51168.0,10302.0,C23289,z1018a,,,,
0,CC(CC(=O)Nc1c[nH]nc1-c1nccs1)N1CCCCC1=O,ZTHISXNUAOFTJB-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,Nc1c[nH]nc1-c1nccs1,CC(CC(=O)O)N1CCCCC1=O,Amidation,,,,3wgJYR,,,,,,,,,,
0,c1nc2ccc(NCc3ccc4occc4c3)cn2n1,WNOQDDCSSLWEEK-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,NCc1ccc2occc2c1,Ic1ccc2ncnn2c1,N-nucleophilic_aromatic_substitution,,,,pJc5dN,,,,,,,,,,
0,O=C(Cc1cc2ccccc2o1)NCc1nsc2ccccc12,ZAXPKNMZZARUDB-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,O=C(O)Cc1cc2ccccc2o1,NCc1nsc2ccccc12,Amidation,,,,M5F5TU,,,,,,,,,,
0,Cc1c[nH]nc1-c1cccc(NC(=O)C2CCCO2)n1,GXKXWJKZPBGFSI-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,O=C(Nc1cccc(Cl)n1)C1CCCO1,Cc1c[nH]nc1B1OC(C)(C)C(C)(C)O1,Sp2-sp2_Suzuki_coupling,,,,haKcwf,,,,,,,,,,
0,c1cnc2c(c1)CCCC2NCc1cccnc1N1CCCC1,KSLLTEVDKMOHSW-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,OCc1cccnc1N1CCCC1,NC1CCCc2cccnc21,Mitsunobu_reaction_with_amine_alcohol_and_thioalcohol,,,,wAgwXs,,,,,,,,,,
0,O=C(Cc1ccn(C2CCCC2)n1)NCCN1CCCC1=O,MOWNOSLAQYMJTK-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,O=C(O)Cc1ccn(C2CCCC2)n1,NCCN1CCCC1=O,Amidation,,,,YQ5qKF,,,,,,,,,,
0,O=C(OCCCN1CCCC1=O)c1ccnc(C2CC2)c1,PPLQPJVUYBOHPD-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,O=C1CCCN1CCCO,O=C(O)c1ccnc(C2CC2)c1,Steglich_esterification,,,,YqrJzG,,,,,,,,,,
0,CCCn1ccc2ccc(NC(=O)NCC(C)O)cc21,OXHXBAHSHMBTDQ-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,CCCn1ccc2ccc(N)cc21,CC(O)CN,Formation_of_urea_from_two_amines,,,,Za5y6r,,,,,,,,,,
1,CCCn1ccc2ccc(NC(=O)NCC(C)O)cc21,OXHXBAHSHMBTDQ-UHFFFAOYSA-N,APIQueryError,API superstructure query failed for step 1 reactant r1 in Formation_of_urea_by_displacement_of_imidazole_by_amine.,CC(O)C[NH:1]C(=O)n1ccnc1,CCCn1ccc2ccc(N)cc21,Formation_of_urea_by_displacement_of_imidazole_by_amine,,,,acSz5C,,,,,,,,,,
0,Nc1cc(NCc2c[nH]cn2)ccn1,FJIZSRBICNYNGK-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,Nc1cc(Cl)ccn1,NCc1c[nH]cn1,N-nucleophilic_aromatic_substitution,,,,mZJaQa,,,,,,,,,,
0,c1ccc(N2CCOc3ccccc3C2)nc1,ZLBFYANSAYZPQU-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,c1ccc2c(c1)CNCCO2,OB(O)c1ccccn1,Chan-Lam_coupling_(amination),,,,jTrXsr,,,,,,,,,,
0,Brc1ccnc2c(NCc3ccncc3)cccc12,ZFGFQBONQPPJMM-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,OCc1ccncc1,Nc1cccc2c(Br)ccnc12,Mitsunobu_reaction_with_amine_alcohol_and_thioalcohol,,,,4iA4UJ,,,,,,,,,,
0,Nc1csc(-c2nccc3ccccc23)n1,BXXSTDNXQYXVHZ-UHFFFAOYSA-N,,,Nc1csc(Br)n1,CC1(C)OB(c2nccc3ccccc23)OC1(C)C,Sp2-sp2_Suzuki_coupling,z0111a,10000.0,663.0,2TELw5,/opt/xchem-fragalysis-2/maxwin/RdRp_FFF/syndirella/feb_elabs/templates/z0111a_apo-desolv.pdb,/opt/xchem-fragalysis-2/maxwin/RdRp_FFF/syndirella/feb_elabs/elabs_97/BXXSTDNXQYXVHZ-UHFFFAOYSA-N/BXXSTDNXQYXVHZ-UHFFFAOYSA-N_2TELw5_to_hippo.pkl.gz,12600.0,10500.0,C49455,z0496a,,,,
0,O=C(Nc1cccnc1C1CC1)c1cn[nH]c1,OUADHXQUGPVFPL-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,O=C(O)c1cn[nH]c1,Nc1cccnc1C1CC1,Amidation,,,,ktGSfd,,,,,,,,,,
0,O=C(CCc1csc2ccccc12)NC1CCNC2(CC2)C1,RMDDLTVCDWQPGN-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,O=C(O)CCc1csc2ccccc12,NC1CCNC2(CC2)C1,Amidation,,,,7Y3Uzf,,,,,,,,,,
0,O=C(NCCN1CCCC1=O)c1cc(O)nc2ccccc12,NLPSSNMFGBLZAP-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,O=C(O)c1cc(O)nc2ccccc12,NCCN1CCCC1=O,Amidation,,,,vHh2zK,,,,,,,,,,
0,O=C(CCCc1ccncc1)NCc1coc2ccccc12,XPDDKFHYDJHELS-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,O=C(O)CCCc1ccncc1,NCc1coc2ccccc12,Amidation,,,,emmNok,,,,,,,,,,
0,CCOC(=O)c1cnccc1NCC(C)(O)COC,VDFCXTONXACPCO-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,COCC(C)(O)CN,CCOC(=O)c1cnccc1Br,Buchwald-Hartwig_amination,,,,33rs6m,,,,,,,,,,
0,O=C1CCCCN1CCCNc1ccnc2ccc([N+](=O)[O-])cc12,FRNXPLHZHRXKEC-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,O=[N+]([O-])c1ccc2nccc(Br)c2c1,NCCCN1CCCCC1=O,Buchwald-Hartwig_amination,,,,gSXY4s,,,,,,,,,,
0,O=C1CCCN1CCNC(=O)C1(c2ccccn2)CC1,GEKOBKXDLILBGR-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,O=C(O)C1(c2ccccn2)CC1,NCCN1CCCC1=O,Amidation,,,,UKuRev,,,,,,,,,,
0,CC(CN1CCCC1=O)NC(=O)c1cccc2ncccc12,XZCHKOUIHXKRTC-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,O=C(O)c1cccc2ncccc12,CC(N)CN1CCCC1=O,Amidation,,,,XsTQAT,,,,,,,,,,
0,O=C(OCC#CCSc1nnc(-c2ccncc2)o1)c1cc2ccccc2o1,ZUCZAINLLDMSCJ-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,OCC#CCSc1nnc(-c2ccncc2)o1,O=C(O)c1cc2ccccc2o1,Steglich_esterification,,,,zzczYP,,,,,,,,,,
0,CC(O)CNC(=O)Nc1cccc2cccnc12,SHENAZADMNUPGS-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,NC(=O)Nc1cccc2cccnc12,CC1CO1,Epoxide_+_amine_coupling,,,,uZgoRX,,,,,,,,,,
0,CC(CN1CCCC1=O)NC(=O)C=Cc1ccc2c(c1)CCCN2C,WZJPHEKPHALAMW-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,CN1CCCc2cc(C=CC(=O)O)ccc21,CC(N)CN1CCCC1=O,Amidation,,,,YvKJWP,,,,,,,,,,
0,Cc1cccc(NC(=O)NCC(C)O)n1,WXCSLBRGRKDJSX-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,Cc1cccc(N)n1,CC(O)CN,Formation_of_urea_from_two_amines,,,,NBAnKB,,,,,,,,,,
1,Cc1cccc(NC(=O)NCC(C)O)n1,WXCSLBRGRKDJSX-UHFFFAOYSA-N,APIQueryError,API superstructure query failed for step 1 reactant r1 in Formation_of_urea_by_displacement_of_imidazole_by_amine.,CC(O)C[NH:1]C(=O)n1ccnc1,Cc1cccc(N)n1,Formation_of_urea_by_displacement_of_imidazole_by_amine,,,,JJ6UiE,,,,,,,,,,
0,CC(C)n1cc(NC2=NCCCS2)cn1,QOAMYTSWHMHASV-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,NC1=NCCCS1,CC(C)n1cc(Br)cn1,N-nucleophilic_aromatic_substitution,,,,GMdDvT,,,,,,,,,,
0,Cc1nc(CNc2nccc3ccccc23)cs1,QYRRPPSGQNMPRP-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,Nc1nccc2ccccc12,Cc1nc(C=O)cs1,Reductive_amination,,,,WGZEKm,,,,,,,,,,
0,OC1COCC1CNCc1ccn[nH]1,DFFAHRILMAZSJI-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,O=Cc1ccn[nH]1,NCC1COCC1O,Reductive_amination,,,,dH8ABr,,,,,,,,,,
0,Fc1ccc2c(c1)N(Cc1cnc[nH]1)CCC2,KJOJCYOZXQMGKF-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,Fc1ccc2c(c1)NCCC2,BrCc1cnc[nH]1,Nucleophilic_substitution_with_amine,,,,aUvMUK,,,,,,,,,,
0,O=C(Cc1ccn(C2CCCC2)n1)NCCN1CCCC1=O,MOWNOSLAQYMJTK-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,O=C(O)Cc1ccn(C2CCCC2)n1,NCCN1CCCC1=O,Amidation,,,,c3426D,,,,,,,,,,
0,O=C(NCCc1cccc2ccccc12)c1cccc2cc[nH]c12,DHXCDLUKFAKLSY-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,O=C(O)c1cccc2cc[nH]c12,NCCc1cccc2ccccc12,Amidation,,,,mvhHct,,,,,,,,,,
0,CC(CN1CCCC1=O)NC(=O)C=Cc1ccc2c(c1)CCCN2C,WZJPHEKPHALAMW-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,CN1CCCc2cc(C=CC(=O)O)ccc21,CC(N)CN1CCCC1=O,Amidation,,,,QxmN9D,,,,,,,,,,
0,CC(C)CC(NC(=O)c1cnc(-c2ccccn2)s1)C(F)(F)F,HGMRINZTTPAZBD-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,O=C(O)c1cnc(-c2ccccn2)s1,CC(C)CC(N)C(F)(F)F,Amidation,,,,y48Qmb,,,,,,,,,,
0,O=C(NCCN1CCCC1=O)c1cc(O)nc2ccccc12,NLPSSNMFGBLZAP-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,O=C(O)c1cc(O)nc2ccccc12,NCCN1CCCC1=O,Amidation,,,,bXqx4x,,,,,,,,,,
0,O=C(CCc1csc2ccccc12)NC1CCNC2(CC2)C1,RMDDLTVCDWQPGN-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,O=C(O)CCc1csc2ccccc12,NC1CCNC2(CC2)C1,Amidation,,,,EjW4at,,,,,,,,,,
0,O=C(NCCc1cccc2ccccc12)c1cccc2cc[nH]c12,DHXCDLUKFAKLSY-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,O=C(O)c1cccc2cc[nH]c12,NCCc1cccc2ccccc12,Amidation,,,,fGjMF2,,,,,,,,,,
0,O=C(NCCc1cccc2ccccc12)c1cccc2cc[nH]c12,DHXCDLUKFAKLSY-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,O=C(O)c1cccc2cc[nH]c12,NCCc1cccc2ccccc12,Amidation,,,,Zis7zr,,,,,,,,,,
